Sva,Siva,295333,2
ptf,pitf,236690,2
kArn,kArin,236690,3
nyama,niyama,419190,3
vkAra,vikAra,7497,0
kArn,kArin,7497,0
hta,hita,7497,3
mun,muni,22925,2
SAl,SAli,235194,0
zazwka,zazwika,235194,1
Ad,Adi,235194,1
pzwa,pizwa,235194,2
Bd,Bid,180168,4
vmala,vimala,251577,1
pRqa,piRqa,252343,2
kow,kowi,15052,7
nKarva,niKarva,15052,11
ndrajt,indrajit,180434,0
ndrA,nidrA,265183,0
kal,kali,174546,1
pavtra,pavitra,174546,1
vsarpa,visarpa,235980,0
nkara,nikara,423752,0
zazw,zazwi,423752,0
vnA,vinA,173982,4
vaszWa,vasizWa,158577,0
kzp,kzip,230584,3
vast,vasti,231046,1
hta,hita,231046,3
Szya,Sizya,275522,3
aBzeka,aBizeka,278058,1
avaD,avaDi,220871,1
Dvan,Dvani,12899,3
ha,iha,156301,1
vsmaya,vismaya,156301,4
vzRu,vizRu,433955,3
dna,dina,8452,1
prakft,prakfti,273229,0
vsarga,visarga,273229,1
gr,giri,152817,0
kArn,kArin,4698,2
mOktka,mOktika,423772,3
vaSn,vaSin,277210,4
kukz,kukzi,156303,2
dakzRa,dakziRa,280002,0
raSm,raSmi,280002,3
ha,iha,281895,0
vvDa,viviDa,205365,2
ved,vedi,294148,0
vS,viS,436709,0
sahta,sahita,436709,1
Ad,Adi,216768,4
tara,itara,182581,3
sdD,sidDi,265583,2
kal,kali,426975,1
kal,kali,426975,5
mh,mih,207218,3
Sva,Siva,159532,0
Sva,Siva,159532,1
vrAwa,virAwa,296114,0
dvya,divya,295804,3
BUm,BUmi,244096,1
upar,upari,244096,1
kap,kapi,162070,3
SoRta,SoRita,206941,7
supt,supti,233163,1
Ad,Adi,233163,2
vBA,viBA,12244,0
pat,pati,255278,6
parpakva,paripakva,8118,4
ctra,citra,218188,4
vsarpa,visarpa,218188,5
vza,viza,218188,7
j,ji,218188,9
pz,piz,192814,0
rucra,rucira,165394,2
yukt,yukti,214881,2
araR,araRi,214881,3
srA,sirA,182699,2
har,hari,12646,0
prIt,prIti,12646,2
vlambn,vilambin,423710,0
antarkza,antarikza,423710,4
nGaRwu,niGaRwu,266597,2
Ad,Adi,266597,2
Ad,Adi,284689,1
vahn,vahni,441057,1
bAlSa,bAliSa,410667,2
jAt,jAti,278480,0
j,ji,245622,5
ndrya,indriya,245622,5
arTn,arTin,289774,3
jIvta,jIvita,289774,3
aDzWAtf,aDizWAtf,434660,0
vyakt,vyakti,233371,9
kAnt,kAnti,423725,0
vzRu,vizRu,159922,2
nmna,nimna,227255,0
SudD,SudDi,268245,1
puzw,puzwi,268245,3
sta,sita,282771,0
vdyut,vidyut,282771,2
hta,hita,229282,1
at,ati,229282,4
SoRta,SoRita,229282,4
pAR,pARi,213841,0
aBzeka,aBizeka,420363,0
vzRu,vizRu,277690,1
pramt,pramiti,277690,2
vDvat,viDivat,196672,1
SKA,SiKA,157879,1
lohta,lohita,157879,3
ctra,citra,162896,1
kap,kapi,162896,2
ntya,nitya,433802,0
mun,muni,433802,1
anla,anila,172400,2
ntya,nitya,25846,1
vsmaya,vismaya,435395,0
vpra,vipra,435395,3
suKn,suKin,421683,1
ndrA,nidrA,421683,1
nrBara,nirBara,421683,1
atkAya,atikAya,182888,1
mAcram,mAciram,435618,5
hta,hita,439467,5
pz,piz,233773,0
BUyzWa,BUyizWa,185678,0
yuDzWra,yuDizWira,156459,0
Ad,Adi,209543,1
vzaya,vizaya,24271,0
Sakt,Sakti,24271,6
vzaya,vizaya,24271,8
vzaya,vizaya,24271,9
aDkAra,aDikAra,180349,1
vzRu,vizRu,290095,0
hqmba,hiqimba,164325,0
nyama,niyama,245059,0
snDu,sinDu,280240,4
pratBAsa,pratiBAsa,283145,3
vcAra,vicAra,283145,4
har,hari,211086,6
kryA,kriyA,407627,0
mAln,mAlin,240600,3
nrjana,nirjana,159328,1
vfzR,vfzRi,408730,0
malna,malina,263457,1
anla,anila,260653,1
vast,vasti,260653,2
darSn,darSin,159686,3
vfzR,vfzRi,162092,0
dfzw,dfzwi,192568,0
SoRta,SoRita,183661,5
tla,tila,248082,7
upar,upari,257214,4
pat,pati,14285,1
vmAna,vimAna,298507,0
ctra,citra,298507,1
vvDa,viviDa,298507,1
vcArn,vicArin,409139,3
vSva,viSva,210722,0
Suc,Suci,252457,4
vzama,vizama,432506,1
vroDn,viroDin,432506,5
pradakzRa,pradakziRa,252711,1
Ad,Adi,260841,0
