246755,4,0,gati
406443,0,0,tad
406443,3,9,samADA
438716,6,0,viSru
281052,3,0,vijaya
281052,4,0,tad
6342,0,0,snigDa
438507,0,0,aBizu
433235,4,0,BAminI
441047,0,0,tad
441047,1,0,iha
431375,1,0,Ahf
252673,0,0,tad
252673,4,0,svargati
287034,0,6,ahata
188287,2,0,cikitsita
428622,3,0,SrutAtmaka
287029,2,7,upadiS
412427,2,0,dASArha
285851,1,0,tad
416612,3,9,vivarjay
178739,3,0,samalaMkf
300556,0,0,bfhaspati
211888,1,5,sidDi
425377,0,0,saMjYA
226737,0,0,tad
226737,4,4,udDan
413036,2,0,jIvita
155419,4,0,yaTAdfzwam
299118,10,0,niviS
226830,0,0,mAMsasarpis
173326,3,0,Bagavant
260605,1,0,dvAdaSan
284690,2,0,vimuKa
252525,1,2,aSeza
300818,4,0,yuDizWira
180409,3,0,viDi
261498,2,0,kaScid
435652,0,0,ahalyA
236797,6,0,param
427555,0,0,jananI
417921,3,0,vizRu
228248,0,0,tad
179270,2,0,prahA
436315,0,1,apahnu
296717,0,0,tad
296717,2,0,pratipad
18261,0,0,Darmin
403482,2,0,tad
403482,4,0,DanaMjaya
260081,4,0,taTAviDa
248540,0,9,samopeta
172095,4,0,iz
370429,3,0,yogin
157059,1,0,ArADay
425060,0,8,aByupAya
425060,4,0,tad
255856,1,0,tIrTayAtrA
436264,2,0,maRiBadra
153637,5,0,paraMtapa
293467,1,0,nArI
408875,1,0,sampraDAray
293131,0,0,tad
293131,2,0,avagam
251226,4,0,pUjay
437120,2,7,aBinirji
297691,0,0,prayA
166716,4,0,Bojya
13567,5,0,kriyA
271311,2,0,tad
271311,5,0,varayozit
434625,0,0,apagA
150564,1,0,samudi
370620,3,0,ananta
410606,4,0,atikrama
241035,4,0,tad
241035,5,0,kzaRadAcara
252895,4,0,same
441550,1,0,tad
441550,6,0,kaTaMcana
256123,0,0,vEdya
423336,4,0,kaScid
301136,0,0,avyADi
151687,0,4,siMha
213834,0,0,pAlay
213834,1,0,tad
21444,0,0,tad
21444,2,0,tad
434746,5,0,avAp
264720,2,6,varjay
414873,0,0,SiKaRqin
249926,2,0,kalA
219184,2,7,indrAnuja
428133,5,0,tad
6030,1,0,tArA
172053,5,0,upapAday
404519,4,0,tad
404519,5,0,mahAtman
159964,2,0,deveSa
210842,2,11,samanvita
166750,4,0,Brukuwi
274754,1,0,Akzip
159397,2,0,dEtya
247029,2,0,tad
247029,4,0,trilocana
294838,3,0,mahA
292804,1,0,tad
292804,4,0,pati
192409,1,0,hiNgula
230196,3,0,mftapaYcaka
211842,2,0,agnihotra
257400,0,0,rasasAra
182212,3,4,Avf
158081,4,0,dvija
186906,1,0,vipAcay
186906,4,0,tad
271337,0,0,ayuta
271337,2,0,tad
422232,0,0,kiMca
433274,1,0,tad
433274,2,0,mahAtman
420374,0,9,viDA
422060,1,0,tad
422060,4,0,vIravara
16706,0,0,tad
16706,3,0,kila
278094,1,0,tad
278094,2,0,dvija
416920,0,0,oM
198128,1,0,samasta
178362,3,0,kuSalin
418019,0,0,oM
153172,0,0,tad
153172,2,0,aBizeka
427507,0,0,Acoday
