sent_id,missing count,ginti
206226,0,0
414771,0,0
204735,0,1
285237,0,0
160861,0,1
184279,0,0
281200,0,0
418853,0,0
276569,0,0
168154,0,0
223532,0,0
172624,0,0
161795,0,0
6668,0,0
409125,0,0
254705,0,0
404401,0,0
403217,0,0
422108,0,0
208520,0,0
249897,0,0
227846,0,0
245837,0,0
9666,0,0
416413,0,0
439027,0,1
169842,0,0
18472,0,0
402599,0,0
242031,0,0
438858,0,1
227011,0,0
274376,0,0
222761,0,0
11585,0,0
18902,0,0
247961,0,0
430530,0,0
237768,0,0
210432,0,0
226791,0,1
257297,0,0
402075,0,0
263142,0,1
294977,0,0
417813,0,0
266475,0,0
413400,0,0
437000,0,0
228767,0,0
209844,0,0
213396,0,1
371344,0,0
410610,0,0
216282,0,0
214252,0,0
246878,0,0
431630,0,0
416482,0,0
169391,0,0
178148,0,0
204938,0,0
208956,0,0
176998,0,0
418918,0,0
289729,0,0
253720,0,0
5887,0,0
271109,0,0
405995,0,0
418467,0,0
10478,0,0
230751,0,0
425414,0,0
426907,0,0
181111,0,1
430582,0,0
234836,0,0
434762,0,0
1750,0,0
174343,0,0
199593,0,0
209320,0,1
415415,0,0
431121,0,0
163606,0,1
256664,0,0
403224,0,0
300446,0,0
186045,0,0
10734,0,0
251182,0,0
165569,0,1
273388,0,0
258900,0,0
300051,0,0
207402,0,0
158745,0,0
405497,0,0
401612,0,0
221208,0,0
269520,0,0
297224,0,0
246543,0,0
194855,0,0
244301,0,0
197364,0,0
427081,0,0
415431,0,0
431649,0,0
18588,0,1
214226,0,0
293479,0,0
217725,0,0
278918,0,0
197035,0,0
229878,0,0
250770,0,0
419178,0,0
195971,0,0
296431,0,0
198212,0,0
158879,0,1
235376,0,0
223687,0,0
191657,0,0
244244,0,1
14973,0,0
186528,0,0
264197,0,1
199830,0,1
246727,0,0
218500,0,0
18477,0,0
1842,0,0
225407,0,0
294749,0,0
208031,0,0
10401,0,0
254059,0,0
226890,0,0
420665,0,0
165996,0,0
242041,0,0
157532,0,0
261118,0,0
429842,0,0
412091,0,0
238001,0,0
235184,0,0
8928,0,0
196621,0,0
157896,0,0
196337,0,0
441445,0,0
224601,0,0
277746,0,1
270211,0,0
242770,0,0
228063,0,1
268537,0,0
240880,0,0
218266,0,1
167138,0,0
150326,0,1
191418,0,0
213965,0,0
8819,0,0
549,0,0
163881,0,0
292438,0,0
415879,0,0
19205,0,0
235172,0,0
283194,0,0
206038,0,0
181342,0,0
275504,0,0
210037,0,0
21116,0,0
211861,0,0
265819,0,0
426876,0,0
403368,0,0
262832,0,0
292032,0,0
232577,0,0
163597,0,1
22640,0,0
175739,0,0
441487,0,0
250370,0,0
223005,0,0
245539,0,0
213755,0,0
5,0,0
205014,0,0
434594,0,0
179821,0,0
249416,0,0
184417,0,0
241366,0,0
222128,0,0
220821,0,0
9144,0,0
22762,0,1
301209,0,0
221313,0,0
283742,0,0
301202,0,0
270615,0,0
428421,0,0
412189,0,0
294191,0,0
258855,0,0
279982,0,1
170126,0,0
417626,0,0
179224,0,0
427112,0,1
255596,0,0
222966,0,0
218108,0,1
230866,0,0
157299,0,0
231241,0,0
287281,0,1
249222,0,0
440000,0,0
407277,0,0
271491,0,0
165295,0,0
169413,0,0
1945,0,0
293406,0,0
229470,0,1
239077,0,0
275177,0,0
411890,0,0
219665,0,0
258296,0,0
432854,0,0
1320,0,0
10636,0,1
422698,0,0
441892,0,0
266743,0,0
370096,0,0
424238,0,0
438793,0,0
244782,0,0
166828,0,0
200951,0,1
403846,0,0
220164,0,0
211531,0,0
205606,0,0
168724,0,1
164318,0,1
152300,0,0
205065,0,1
190901,0,0
278239,0,1
404982,0,0
178577,0,0
436433,0,1
237832,0,0
248974,0,0
227313,0,1
208902,0,0
264869,0,1
190334,0,0
295458,0,0
246016,0,0
25133,0,0
269223,0,1
224057,0,1
433526,0,0
191612,0,0
163105,0,1
161153,0,2
402996,0,0
221194,0,0
276301,0,1
424628,0,0
423929,0,0
247596,0,0
437924,0,2
271844,0,0
413251,0,1
159384,0,0
278954,0,0
259639,0,1
211830,0,0
432642,0,0
153841,0,0
287158,0,1
179062,0,0
432075,0,1
227156,0,0
244969,0,0
432453,0,0
209467,0,0
7256,0,0
278493,0,0
435336,0,0
441630,0,0
160249,0,0
218869,0,0
298110,0,1
423807,0,0
424353,0,1
417739,0,0
165225,0,1
250614,0,0
255630,0,0
212790,0,0
8325,0,0
295909,0,2
370694,0,1
218060,0,1
221901,0,0
296758,0,0
184434,0,0
422953,0,0
158941,0,0
254189,0,0
24982,0,0
276224,0,0
248215,0,0
168870,0,0
292748,0,0
298219,0,0
296010,0,0
257024,0,1
276121,0,0
440851,0,0
236749,0,0
163907,0,1
155383,0,0
427757,0,0
173072,0,0
4997,0,0
219662,0,1
596,0,0
169223,0,0
231150,0,0
253850,0,0
289221,0,0
254313,0,0
163706,0,1
195810,0,0
210033,0,0
193320,0,1
401731,0,0
16670,0,0
286103,0,0
220195,0,0
238262,0,1
20259,0,0
25125,0,0
422880,0,0
273123,0,0
276153,0,0
410869,0,0
441580,0,0
167960,0,1
412989,0,0
182215,0,0
436203,0,1
415823,0,0
162568,0,0
252732,0,0
403011,0,0
286861,0,1
178516,0,0
214672,0,0
154903,0,0
226817,0,0
408840,0,0
5563,0,0
218600,0,1
234061,0,0
10774,0,1
244400,0,0
254941,0,0
284928,0,0
289811,0,0
15516,0,0
153979,0,0
237300,0,0
254356,0,0
241416,0,0
209223,0,0
185094,0,0
243120,0,0
259383,0,1
276324,0,0
279993,0,0
223672,0,0
184732,0,0
256024,0,1
405392,0,0
205290,0,0
268746,0,0
195316,0,0
283689,0,0
179020,0,0
280078,0,0
420000,0,0
414989,0,0
214244,0,0
284407,0,0
204927,0,0
23040,0,0
440435,0,1
244492,0,1
221126,0,0
297732,0,0
215313,0,0
216701,0,0
413987,0,0
15523,0,0
405978,0,0
181550,0,0
430884,0,0
153900,0,0
234121,0,1
242125,0,0
286133,0,0
212514,0,0
222038,0,0
440704,0,0
171959,0,0
168820,0,0
5967,0,0
434159,0,0
289372,0,0
167363,0,0
18126,0,1
198470,0,0
405902,0,0
283401,0,0
213057,0,0
23157,0,1
162692,0,0
208755,0,0
157540,0,0
19314,0,1
21048,0,1
219093,0,0
289575,0,1
278741,0,0
438231,0,0
420611,0,0
429575,0,0
417449,0,1
4422,0,0
272421,0,0
176946,0,0
173755,0,0
214206,0,0
259505,0,0
283064,0,0
436522,0,1
251478,0,0
287818,0,2
176621,0,0
261727,0,0
241723,0,0
220110,0,0
192629,0,0
212831,0,0
225271,0,0
241316,0,1
406219,0,0
206658,0,0
295018,0,0
215798,0,0
264082,0,2
279343,0,0
409159,0,3
419695,0,0
175731,0,0
191284,0,0
426613,0,1
291781,0,0
240204,0,0
432624,0,0
271916,0,0
183766,0,0
187712,0,0
251184,0,0
288428,0,0
296711,0,0
181565,0,0
239757,0,0
294809,0,1
434014,0,0
3418,0,0
225347,0,0
425622,0,0
278237,0,0
299707,0,0
429006,0,0
231022,0,0
230328,0,0
216491,0,0
300587,0,0
298499,0,0
19547,0,1
219411,0,1
161879,0,0
402949,0,0
179553,0,0
10303,0,0
6830,0,0
282718,0,0
151627,0,1
