423061,6,2
183122,2,1
417994,1,0
152393,0,0
416017,3,1
180410,1,0
235942,Incomplete chunk
270306,4,0
280109,3,1
262004,3,0
435049,0,0
278921,5,0
198136,2,1
285707,3,0
163944,2,0
169030,3,0
235536,Incomplete chunk
263092,2,0
226756,2,0
277560,0,0
175141,Incomplete chunk
160267,2,0
190768,2,0
165347,3,0
158091,3,0
433003,3,0
6242,5,1
438596,0,0
403123,4,1
291089,3,0
208890,1,0
168108,1,0
269274,14,2
4378,Incomplete chunk
277272,3,1
277522,4,0
235755,3,1
243173,2,0
2710,1,0
17462,2,0
256661,6,0
251459,4,1
438416,1,0
214862,3,0
176999,2,0
153441,5,1
422511,2,0
239203,1,0
22270,2,0
230522,3,1
430025,6,1
437973,3,0
153777,2,0
224083,4,1
152542,1,0
6678,4,1
227465,8,1
220731,3,1
244058,3,1
245810,2,0
217707,3,0
371004,2,0
415262,4,0
225079,1,0
172563,3,0
193314,3,0
3320,2,1
165402,4,0
183647,2,0
185962,3,0
10089,4,1
214881,2,0
13124,2,1
294322,4,0
410359,Incomplete chunk
6070,3,1
184081,2,0
415117,2,0
402031,4,0
164647,2,0
417210,Incomplete chunk
251212,2,1
370386,Incomplete chunk
235022,3,1
178989,1,0
152528,1,0
246519,3,0
164274,2,0
211433,Incomplete chunk
192513,6,1
217167,2,0
189560,6,1
6293,4,1
442173,2,1
258364,2,0
256441,1,0
258927,2,0
295909,2,0
209599,3,0
236377,1,1
299071,3,0
426944,3,0
289403,0,0
428877,3,2
231199,5,1
418302,1,0
163904,1,0
220042,4,2
209479,2,0
10690,1,0
175309,22,0
227886,6,1
415988,1,0
281815,1,0
214458,Incomplete chunk
223914,4,1
207623,3,0
402462,1,0
233992,1,0
424439,0,0
188430,6,1
22120,32,1
233889,7,1
4464,1,0
429089,4,0
163221,3,0
221287,5,0
406214,1,0
434839,2,0
270804,4,0
150342,2,0
198493,3,0
425522,3,0
672,4,2
186128,4,1
264623,3,0
275352,7,2
289827,1,0
405635,3,0
239807,4,1
413150,6,0
251430,2,0
261332,4,2
233477,2,0
413604,4,0
409409,3,1
413631,2,0
237866,2,1
230234,2,0
153783,1,0
292923,2,0
416487,2,0
216889,4,0
163025,4,0
296779,2,0
433995,3,0
267533,4,1
235885,1,0
239381,1,0
152042,1,0
433310,4,0
271595,3,0
221697,3,0
264247,2,0
402610,1,1
281550,2,0
